ID	Title	Author	Year	Abstract	DOI / URL	DB	Relevant Category	Studientyp	Subtasks	Zielsprache	Sprachsetting	Domäne (Kategorie)	Domäne (Freitext)	Paradigma	DA-Strategie	Methode	Datensätze	Modelle	Metriken	Vergleichsmethoden	Annotationsprozess beschrieben	Annotatorenzahl / QS	Annotationsvorgehen	Annotationstiefe	Datensatzgröße abs	Datensatzgröße
df074ba9434d33e1a1dd78177c1d54096e4b935c	"""I grade what I get but write what I think."" Inconsistency Analysis in Patients' Reviews"	Geierhos, Michaela; Bäumer, F. S.; Schulze, S.; Stuß, Valentina	2015	Received medical services are increasingly discussed and recommended on physician rating websites (PRWs). The reviews and ratings on these platforms are valuable sources of information for patient opinion mining. In this paper, we have tackled three issues that come along with inconsistency analysis on PRWs: (1) Natural language processing of user-generated reviews, (2) the disagreement in polarity of review text and its corresponding numerical ratings (individual inconsistency) and (3) the differences in patients’ rating behavior for the same service category (e.g. ‘treatment’) expressed by varying grades on the entire data set (collective inconsistency). Thus, the basic idea is first to identify relevant opinion phrases that describe service categories and to determine their polarity. Subsequently, the particular phrase has to be assigned to its corresponding numerical rating category before checking the (dis-)agreement of polarity values. For this purpose, several local grammars for the pattern-based analysis as well as domain-specific dictionaries for the recognition of entities, aspects and polarity were applied on 593,633 physician reviews from both German PRWs jameda.de and docinsider.de. Furthermore, our research contributes to content quality improvement of PRWs because we provide a technique to detect inconsistent reviews that could be ignored for the computation of average ratings.	http://dx.doi.org/10.18151/7217324	ss		Methodenpapier, Datensatzpapier, Explorativ	OSE, Subjectivity Phrases, ATE	German	Monolingual		Physician Reviews	Unsupervised		Rule-based	Geierhos-Physicians-German	Local Grammar	Precision, Recall, F1-micro	Kein Vergleich	Yes	0		Aspect Subcategory, Aspect Category, Subjectivity Phrase, Opinion Target Phrase, Opinion Source Phrase	593633 reviews	10000 +
73c42827836ab59b93a0c17511ab66cdd5994bac	A Descriptive Analysis of a German Corpus Annotated with Opinion Sources and Targets	Michael Wiegand, Leonie Lapp, Josef Ruppenhofer	2019	We present a descriptive analysis on the two datasets from the shared task on Source, Subjective Expression and Target Extraction from Political Speeches (STEPS), the only existing German dataset for opinion role extraction of its size. Our analysis discusses the individual properties of the three components, subjective expressions, sources and targets and their relations towards each other. Our observations should help practitioners and researchers when building a system to extract opinion roles from German data.	https://www.semanticscholar.org/paper/73c42827836ab59b93a0c17511ab66cdd5994bac	ss		Explorativ	OSE, Subjectivity Phrases, No defined task, ATE	German	Monolingual		Swiss Parliament Speeches				STEPS 2014, STEPS 2016		F1-micro, Precision, Recall	Kein Vergleich						
dde0e24a3ccf3e0d500f30144cd9dbf3e7133c6c	A Supervised Learning Approach for the Extraction of Sources and Targets from German Text	Wiegand, Michael; Chikobava, Margarita; Ruppenhofer, Josef	2019	A wide choice of different features is presented, particularly syntactic features and generalization features, particularly syntactic features and generalization features for the extraction of opinion sources and targets on German language data.	https://ids-pub.bsz-bw.de/frontdoor/deliver/index/docId/9321/file/Wiegand_etal._A_supervised_learning_approach_2019.pdf	ss		Methodenpapier	OSE, Subjectivity Phrases, ATE	German	Monolingual		Swiss Parliament Speeches	Supervised		Classical ML	STEPS 2014, STEPS 2016	SVM	F1-micro, Precision, Recall	SOTA						
rehbein-ponzetto-2024-new	A new Resource and Baselines for Opinion Role Labelling in German Parliamentary Debates	Rehbein, Ines; Ponzetto, Simone Paolo	2024	Detecting opinions, their holders and targets in parliamentary debates provides an interesting layer of analysis, for example, to identify frequent targets of opinions for specific topics, actors or parties. In the paper, we present GePaDe-ORL, a new dataset for German parliamentary debates where subjective expressions, their opinion holders and targets have been annotated. We describe the annotation process and report baselines for predicting those annotations in our new dataset.	http://dx.doi.org/10.63317/3vnhbjqxckar	acl-anthology		Datensatzpapier, Methodenpapier	OSE, Subjectivity Phrases, ATE	German	Monolingual		German Parliament Debates	Supervised		Deep Learning	GEPADE-ORL	Transformer (BERT)	F1-micro, Precision, Recall	Kein Vergleich	Yes	3	Majority Decision, Curation	Opinion Target Phrase, Opinion Source Phrase, Subjectivity Phrase	13222 sentences	10000 +
9c067ba30d4bfee3f6e54c60bfa827d5672ff1cf	IGGSA-STEPS: Shared Task on Source and Target Extraction from Political Speeches	Josef Ruppenhofer, Julia Maria Struß, J. Sonntag, Stefan Gindl	2014	Accurate opinion mining requires the exact identification of the source and target of an opinion. To evaluate diverse tools, the research community relies on the existence of a gold standard corpus covering this need. Since such a corpus is currently not available for German, the Interest Group on German Sentiment Analysis decided to create such a resource and make it available to the research community in the context of a shared task. In this paper, we describe the selection of textual sources, development of annotation guidelines, and first evaluation results in the creation of a gold standard corpus for the German language.	https://www.semanticscholar.org/paper/9c067ba30d4bfee3f6e54c60bfa827d5672ff1cf	ss		Datensatzpapier		German	Monolingual		Swiss Parliament Speeches				STEPS 2014				Yes	6	Majority Decision, Curation	Opinion Target Phrase, Opinion Source Phrase, Subjectivity Phrase, Opinion Phrase	1815 sentences	500 - 2000
li-etal-2012-annotating	Annotating Opinions in German Political News	Hong Li, Xiwen Cheng, Kristina Adson, Tal Kirshboim, Feiyu Xu	2012	This paper presents an approach to construction of an annotated corpus for German political news for the opinion mining task. The annotated corpus has been applied to learn relation extraction rules for extraction of opinion holders, opinion content and classification of polarities. An adapted annotated schema has been developed on top of the state-of-the-art research. Furthermore, a general tool for annotating relations has been utilized for the annotation task. An evaluation of the inter-annotator agreement has been conducted. The rule learning is realized with the help of a minimally supervised machine learning framework DARE.		acl-anthology		Datensatzpapier		German	Monolingual		News Articles about German Politicans				HongLi-News-German				Yes	2	Majority Decision, Curation	Opinion Target Phrase, Opinion Source Phrase, Opinion Phrase, Sentiment Polarity	714 sentences	500 - 2000
562303feb634055c813c8a40f11d7e5b60382fb7	Aspect Phrase Extraction in Sentiment Analysis with Deep Learning	Kersting, Joschka; Geierhos, Michaela	2020	This paper deals with aspect phrase extraction and classification in sentiment analysis. We summarize current approaches and datasets from the domain of aspect-based sentiment analysis. This domain detects sentiments expressed for individual aspects in unstructured text data. So far, mainly commercial user reviews for products or services such as restaurants were investigated. We here present our dataset consisting of German physician reviews, a sensitive and linguistically complex field. Furthermore, we describe the annotation process of a dataset for supervised learning with neural networks. Moreover, we introduce our model for extracting and classifying aspect phrases in one step, which obtains an F1-score of 80%. By applying it to a more complex domain, our approach and results outperform previous approaches.	http://dx.doi.org/10.5220/0009349903910400	ss		Datensatzpapier, Methodenpapier	ACD, ATE	German	Monolingual		Physician Reviews	Supervised		Deep Learning	Kersting-Physicians-German	LSTM + CRF	F1-micro, Precision, Recall	Kein Vergleich	Yes	3	Single Annotation	Aspect Category, Opinion Target Phrase	11237 sentences	10000 +
0eaa72f1baf0022923317ea6658ea895adf792ab	Aspect-based Sentiment Analysis for German: Analyzing “Talk of Literature” Surrounding Literary Prizes on Social Media	Greve, L. D.; Singh, Pranaydeep; Van Hee, Cynthia; Lefever, Els; Martens, Gunther	2021	This paper examines the layper-son literary criticism pertaining to a prominent German-language literary award: the Ingeborg-Bachmann-Preis, awarded during the Tage der deutschsprachigen Literatur (TDDL), and proposes an aspect-based sentiment analysis (ABSA) approach to discern the evaluative criteria used to differentiate between ‘good’ and ‘bad’ literature.	https://www.clinjournal.org/clinj/article/view/142	ss		Methodenpapier, Datensatzpapier	ALSC, ACC	German	Monolingual		Literary Prize Critisism	Supervised		Deep Learning	TDDL	Transformer (BERT)	F1-micro, Precision, Recall	Kein Vergleich	Yes	unspecified	unspecified	Aspect Category, Aspect Subcategory, Sentiment Polarity	4521 tweets	2000 - 5000
10.1145/2502069.2502074	Evaluation of an algorithm for aspect-based opinion mining using a lexicon-based approach	Wogenstein, Florian; Drescher, Johannes; Reinel, Dirk; Rill, Sven; Scheidt, Jörg	2013	In this paper, we present a study of aspect-based opinion mining using a lexicon-based approach. We use a phrase-based opinion lexicon for the German language to investigate, how good strong positive and strong negative expressions of opinions, concerning products and services in the insurance domain, can be detected. We perform experiments on hand-tagged statements expressing opinions retrieved from the Ciao platform. The initial corpus contained about 14,000 sentences from 1,600 reviews. For both, positive and negative statements, more than 100 sentences were tagged. We show, that the algorithm can reach an accuracy of 62.2\% for positive, but only 14.8\% for negative utterances of opinions. We examine the cases, in which the opinion could not correctly be detected or in which the linking between the opinion statement and the aspect fails. Especially, the large gap in accuracy between positive and negative utterances is analysed.	http://dx.doi.org/10.1145/2502069.2502074	acm		Methodenpapier, Datensatzpapier	ACSA	German	Monolingual		Automotive Insurance Reviews	Unsupervised		Rule-based	Wogenstein-Automotive-German	German Morphology-Lexicon, SePL	Accuracy	Kein Vergleich	Yes	2	Single Annotation	Aspect Category, Sentiment Polarity, Aspect Subcategory	221 sentences	0 - 500
d892ba135fd6fd936676e37efdb2aa25c172d8fd	Fine-Grained Opinion Mining from Mobile App Reviews with Word Embedding Features	Sänger, Mario; Leser, U.; Klinger, Roman	2017	An aspect and subjective phrase extraction model for German reviews from the Google Play store and the results indicate that there are strong differences in the way personal opinions on product aspects are expressed in the particular domains.	http://dx.doi.org/10.1007/978-3-319-59569-6_1	ss		Methodenpapier	Subjectivity Phrases, ATE	German	Monolingual		Google Play Store Reviews, Amazon Product Reviews	Supervised		Classical ML	SCARE, USAGE	CRF	F1-micro	Interne Validierung						
